filename,split,label,primary_indicator,confidence,source,site_id,notes
stable_cliff_001.jpg,train,stable,natural_bedrock,high,field,,layered sea-cliff bedding intact; people visible for scale
stable_cliff_003.jpg,train,stable,natural_bedrock,high,field,,"sandstone canyon wall, intact bedding, no cracks"
stable_cliff_004.jpg,train,stable,natural_bedrock,high,field,,"sandstone canyon roadside, intact"
stable_cliff_005.jpg,train,stable,natural_bedrock,high,field,,"tafoni/honeycomb weathering - natural erosion pattern, not an instability indicator"
stable_rock_002.jpg,train,stable,natural_bedrock,high,field,,"layered desert badlands strata, distant view"
stable_rock_003.jpg,train,stable,natural_bedrock,medium,field,,roadside granite boulders; motion blur from moving vehicle
stable_slope_002.jpg,train,stable,engineered_vegetated,high,field,,grass highway embankment with guardrail
stable_slope_003.png,train,stable,dry_vegetation,medium,unknown,,"panoramic stitch artifact, looks like a Street View screenshot - verify source/license before any publication"
stable_slope_005.png,train,stable,engineered_vegetated,high,field,,"grass embankment above parking lot; parked cars visible in foreground lot, not on the slope itself"
stable_slope_006.jpg,train,stable,regrowth_vegetation,high,field,,dirt roadside slope with young vegetation regrowth
stable_slope_007.png,train,stable,engineered,high,field,,"erosion-control matting / hydroseed blanket, clearly engineered"
stable_slope_008.png,train,stable,engineered_vegetated,high,field,,grassy urban slope near a building
stable_slope_009.png,train,stable,dry_vegetation,medium,unknown,,looks like a Street View screenshot - verify source/license before any publication
stable_slope_010.png,train,stable,dry_vegetation,medium,unknown,,looks like a Street View screenshot - verify source/license before any publication
stable_slope_011.png,train,stable,dry_vegetation,medium,unknown,,looks like a Street View screenshot - verify source/license before any publication
stable_slope_012.png,train,stable,dry_vegetation,medium,unknown,,looks like a Street View screenshot - verify source/license before any publication
stable_slope_013.png,train,stable,natural_bedrock,high,field,,fractured roadcut with yucca; no movement evidence
stable_slope_015.png,train,stable,natural_bedrock,high,field,,weathered fractured bedrock roadcut
stable_slope_14.png,train,stable,dry_vegetation,high,field,,"yucca/dry chaparral hillside, natural"
stable_rock_004.jpg,train,stable,natural_bedrock,high,commons_ccbysa,commons_rockhousefell,"Wikimedia Commons, CC BY-SA 2.0, geograph 4345724, Rock outcrop on Rock House Fell"
stable_rock_005.jpg,train,stable,natural_bedrock,high,commons_ccbysa,commons_geograph8331979,"Wikimedia Commons, CC BY-SA 2.0, geograph 8331979"
stable_rock_006.jpg,train,stable,natural_bedrock,high,commons_ccbysa,commons_scotchrockfarm,"Wikimedia Commons, CC BY-SA 2.0, geograph 4274124, Scotch Rock Farm"
stable_rock_007.jpg,train,stable,natural_bedrock,high,commons_ccby,commons_mundaringweir,"Wikimedia Commons, CC BY 2.5 AU, Mundaring Weir"
stable_engineered_001.jpg,train,stable,riprap,high,commons_cc0,commons_riprap_shasta1,"Wikimedia Commons, CC0, riprap slope, Shasta-Trinity National Forest"
stable_engineered_002.jpg,train,stable,riprap,high,commons_cc0,commons_riprap_shasta2,"Wikimedia Commons, CC0, riprap slope, Shasta-Trinity National Forest"
